key,value
window.avatar_list.title,"Avatar List"
window.thumbnail_preview.title,"Avatar Thumbnail Preview"
dialog.title.info,"Info"
dialog.title.error,"Error"
dialog.title.confirm,"Confirm"
dialog.button.ok,"OK"
dialog.button.cancel,"Cancel"
dialog.button.yes,"Yes"
dialog.button.no,"No"
toolbar.menu,"Menu"
menu.update_avatar_database,"Update avatar database"
menu.update_avatar_database_with_thumbnails,"Update avatar database (regenerate thumbnails)"
context.switch_active,"Switch to active"
context.generate_thumbnail,"Generate avatar thumbnail"
context.add_thumbnail_settings,"Add avatar thumbnail settings component"
context.add_metadata,"Add avatar metadata component"
context.build_and_publish,"Build and publish avatar"
context.bulk_build_and_publish,"Build and publish selected avatars ({0})"
label.no_search_results,"No results found"
label.initial_setup.incomplete,"Initial setup is not completed"
button.initial_setup.run,"Run initial setup"
button.thumbnail.reload_values,"Reload values"
button.thumbnail.preview,"Preview thumbnail image"
button.booth.fetch,"Fetch product info"
button.legacy_metadata.sync,"Link this avatar metadata to this GameObject"
button.legacy_metadata.copy,"Duplicate avatar metadata file"
tooltip.initial_setup.run,"Run the initial setup process"
helpbox.legacy_metadata.warning,"This avatar metadata may be assigned to another avatar GameObject"
field.avatar_metadata.comment,"Comment"
field.avatar_metadata.tags,"Tags"
field.avatar_metadata.assets,"Used asset information"
field.thumbnail.camera_position_offset,"Camera Position Offset"
field.thumbnail.camera_rotation,"Camera Rotation"
field.asset_product.url,"Product URL"
field.asset_product.name,"Product Name"
field.asset_product.creator_name,"Creator Name"
field.asset_product.description,"Description"
field.asset_product.release_datetime,"Release datetime"
field.asset_product.licenses,"Licenses"
field.asset_product.root_folder,"Product Root Folder (Optional)"
field.asset_product.root_folders,"Product Root Folders (Optional)"
field.legacy_metadata.avatar_metadata,"Avatar Metadata"
field.license.name,"License name"
field.license.url,"License URL"
field.license.text,"License text"
progress.build_publish.title,"Avatar Build & Upload"
progress.build_publish.preparing,"Preparing avatar..."
progress.build_publish.logging_in,"Signing in to VRChat..."
progress.build_publish.getting_builder,"Getting SDK builder..."
progress.build_publish.getting_avatar_info,"Getting avatar information..."
progress.build_publish.confirming_agreement,"Confirming license agreement..."
progress.build_publish.starting_build,"Starting build..."
progress.build_publish.building,"Building: {0}"
progress.build_publish.uploading,"Uploading: {0}"
progress.build_publish.bulk_title,"Bulk Build & Upload ({0}/{1})"
progress.build_publish.bulk_preparing,"Preparing avatar: {0}"
progress.build_avatar_database.title,"Building Avatar Database"
progress.build_avatar_database.processing_scene,"Processing scene ({0}/{1}): {2}"
progress.build_avatar_database.cleanup,"Cleaning up unused files..."
progress.build_avatar_database.saving,"Saving database..."
progress.build_avatar_database.refreshing_index,"Refreshing search index..."
info.upload_cancelled,"Avatar upload has been cancelled."
info.upload_completed,"Avatar build and upload completed."
info.bulk_completed,"Bulk operation finished.\nSucceeded: {0} / Failed: {1} / Skipped: {2}"
info.bulk_completed_with_failures,"Bulk operation finished.\nSucceeded: {0} / Failed: {1} / Skipped: {2}\n\nFailed/skipped avatars:\n{3}"
info.bulk_cancelled_remaining,"Cancelled remaining {0} avatars."
info.play_mode_cannot_switch,"Cannot switch avatars while in Play Mode"
error.unexpected_build_upload,"An unexpected error occurred during build/upload.\n\n{0}"
error.build_upload_failed,"An error occurred during build/upload.\n\n{0}"
error.cannot_get_sdk_builder,"Failed to get the VRChat SDK avatar builder. Please verify the VRChat SDK is installed correctly."
error.pipeline_manager_missing,"Avatar '{0}' does not have a Pipeline Manager component."
error.blueprint_id_missing,"Blueprint ID is not set for avatar '{0}'. Please configure avatar info from the VRChat SDK control panel."
error.not_logged_in,"Please sign in with a VRChat account."
error.login_failed,"An error occurred while signing in to VRChat.\n\n{0}"
error.session_expired,"Your VRChat login session has expired.\nPlease sign in again from the VRChat SDK control panel."
error.avatar_not_uploaded,"Avatar '{0}' has not been uploaded to VRChat yet. Please perform an initial upload from the VRChat SDK control panel first."
error.get_avatar_info_failed,"Failed to fetch avatar information.\nHTTP Status: {0} ({1})\n\n{2}"
error.network_failure,"Failed to communicate with the VRChat server. Please check your connection and try again.\n\n{0}"
error.agreement_processing_failed,"An error occurred while processing the license agreement.\n\n{0}"
error.agreement_required,"Agreement to the license terms is required.\n\n{0}"
error.build_blocked,"The build was blocked by another process.\n\n{0}"
error.validation_failed,"Avatar validation failed. Please check the details in the VRChat SDK control panel.\n\n{0}"
error.not_owner,"You are not the owner of this avatar, so it cannot be uploaded."
error.bundle_already_exists,"The same avatar bundle has already been uploaded.\n\n{0}"
error.upload_failed,"Failed to upload the avatar.\n\n{0}"
error.build_failed,"Failed to build the avatar.\n\n{0}"
error.avatar_not_found,"Avatar '{0}' was not found."
error.scene_cannot_open,"Could not open the scene that contains avatar '{0}'."
error.url_empty,"Please enter a URL"
error.url_invalid,"The URL you entered is invalid"
error.booth_url_required,"Please enter a Booth (booth.pm) URL."
error.booth_item_id_not_found,"Could not extract a product ID from the URL. Please verify the URL."
error.booth_fetch_failed,"Failed to fetch product information from Booth.\n{0}\n\n{1}"
error.booth_unexpected,"An unexpected error occurred while fetching product information.\n\n{0}"
error.booth_http_status,"HTTP Status: {0} ({1})"
error.booth_comm_status,"Connection Status: {0}"
confirm.fetch_product_info,"Do you want to fetch product information?"
confirm.bulk_agreement,"You are about to bulk-build and upload {0} selected avatars under the following copyright agreement.\n\n{1}"
dialog.title.bulk_scene_policy,"Scene Save Behavior During Bulk"
dialog.message.bulk_scene_policy,"Choose how to handle unsaved scene changes when switching avatars during the bulk operation.\n\n- Save Automatically: Save changes without prompting and switch\n- Ask Each Time: Show the save dialog on every switch (Unity default)\n- Discard: Discard changes and switch"
dialog.button.bulk_scene_policy.auto_save,"Save Automatically"
dialog.button.bulk_scene_policy.ask,"Ask Each Time"
dialog.button.bulk_scene_policy.discard,"Discard"
scene_save_dialog.title,"Confirm Scene Save"
scene_save_dialog.message1,"Scene ""{0}"" has unsaved changes."
scene_save_dialog.message2,"Do you want to save changes made during processing?"
scene_save_dialog.remember_choice,"Apply the same choice without asking again (until editor restart)"
scene_save_dialog.save,"Save"
scene_save_dialog.dont_save,"Don't save"
preferences.category,"Avatar Catalog"
preferences.language.label,"Display Language"
